datetime,generationPower,year,month,day,hour,minute,dayofweek,dayofyear,time_idx,date
2024-06-01 16:55:00,0.0,2024,6,1,16,55,5,153,1145.0,2024-06-01
2024-06-01 17:00:00,0.0,2024,6,1,17,0,5,153,1150.0,2024-06-01
2024-06-01 17:05:00,0.0,2024,6,1,17,5,5,153,1155.0,2024-06-01
2024-06-01 17:10:00,0.0,2024,6,1,17,10,5,153,1160.0,2024-06-01
2024-06-01 17:15:00,0.0,2024,6,1,17,15,5,153,1165.0,2024-06-01
2024-06-01 17:20:00,0.0,2024,6,1,17,20,5,153,1170.0,2024-06-01
2024-06-01 17:25:00,0.0,2024,6,1,17,25,5,153,1175.0,2024-06-01
2024-06-01 17:30:00,0.0,2024,6,1,17,30,5,153,1180.0,2024-06-01
2024-06-01 17:35:00,0.0,2024,6,1,17,35,5,153,1185.0,2024-06-01
2024-06-01 17:40:00,0.0,2024,6,1,17,40,5,153,1190.0,2024-06-01
2024-06-01 17:45:00,0.0,2024,6,1,17,45,5,153,1195.0,2024-06-01
2024-06-01 17:50:00,0.0,2024,6,1,17,50,5,153,1200.0,2024-06-01
2024-06-01 17:55:00,0.0,2024,6,1,17,55,5,153,1205.0,2024-06-01
2024-06-01 18:00:00,0.0,2024,6,1,18,0,5,153,1210.0,2024-06-01
2024-06-01 18:05:00,0.0,2024,6,1,18,5,5,153,1215.0,2024-06-01
2024-06-01 18:10:00,0.0,2024,6,1,18,10,5,153,1220.0,2024-06-01
2024-06-01 18:15:00,0.0,2024,6,1,18,15,5,153,1225.0,2024-06-01
2024-06-01 18:20:00,0.0,2024,6,1,18,20,5,153,1230.0,2024-06-01
2024-06-01 18:25:00,0.0,2024,6,1,18,25,5,153,1235.0,2024-06-01
2024-06-01 18:30:00,0.0,2024,6,1,18,30,5,153,1240.0,2024-06-01
2024-06-01 18:35:00,0.0,2024,6,1,18,35,5,153,1245.0,2024-06-01
2024-06-01 18:40:00,0.0,2024,6,1,18,40,5,153,1250.0,2024-06-01
2024-06-01 18:45:00,0.0,2024,6,1,18,45,5,153,1255.0,2024-06-01
2024-06-01 18:50:00,0.0,2024,6,1,18,50,5,153,1260.0,2024-06-01
2024-06-01 18:55:00,0.0,2024,6,1,18,55,5,153,1265.0,2024-06-01
2024-06-01 19:00:00,0.0,2024,6,1,19,0,5,153,1270.0,2024-06-01
2024-06-01 19:05:00,0.0,2024,6,1,19,5,5,153,1275.0,2024-06-01
2024-06-01 19:10:00,0.0,2024,6,1,19,10,5,153,1280.0,2024-06-01
2024-06-01 19:15:00,0.0,2024,6,1,19,15,5,153,1285.0,2024-06-01
2024-06-01 19:20:00,0.0,2024,6,1,19,20,5,153,1290.0,2024-06-01
2024-06-01 19:25:00,0.0,2024,6,1,19,25,5,153,1295.0,2024-06-01
2024-06-01 19:30:00,0.0,2024,6,1,19,30,5,153,1300.0,2024-06-01
2024-06-01 19:35:00,0.0,2024,6,1,19,35,5,153,1305.0,2024-06-01
2024-06-01 19:40:00,0.0,2024,6,1,19,40,5,153,1310.0,2024-06-01
2024-06-01 19:45:00,0.0,2024,6,1,19,45,5,153,1315.0,2024-06-01
2024-06-01 19:50:00,0.0,2024,6,1,19,50,5,153,1320.0,2024-06-01
2024-06-01 19:55:00,0.0,2024,6,1,19,55,5,153,1325.0,2024-06-01
2024-06-01 20:00:00,0.0,2024,6,1,20,0,5,153,1330.0,2024-06-01
2024-06-01 20:05:00,0.0,2024,6,1,20,5,5,153,1335.0,2024-06-01
2024-06-01 20:10:00,0.0,2024,6,1,20,10,5,153,1340.0,2024-06-01
2024-06-01 20:15:00,0.0,2024,6,1,20,15,5,153,1345.0,2024-06-01
2024-06-01 20:20:00,0.0,2024,6,1,20,20,5,153,1350.0,2024-06-01
2024-06-01 20:25:00,0.0,2024,6,1,20,25,5,153,1355.0,2024-06-01
2024-06-01 20:30:00,0.0,2024,6,1,20,30,5,153,1360.0,2024-06-01
2024-06-01 20:35:00,0.0,2024,6,1,20,35,5,153,1365.0,2024-06-01
2024-06-01 20:40:00,0.0,2024,6,1,20,40,5,153,1370.0,2024-06-01
2024-06-01 20:45:00,0.0,2024,6,1,20,45,5,153,1375.0,2024-06-01
2024-06-01 20:50:00,0.0,2024,6,1,20,50,5,153,1380.0,2024-06-01
2024-06-01 20:55:00,0.0,2024,6,1,20,55,5,153,1385.0,2024-06-01
2024-06-01 21:00:00,0.0,2024,6,1,21,0,5,153,1390.0,2024-06-01
